id,name,set,series,generation,publisher,release_date,release_year,artist,supertype,rarity,primary_type,types_display,hp,retreat_cost,set_number
dp6-56,Grumpig,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Uncommon,Psychic,Psychic,90.0,2.0,56/146
dp6-57,Houndoom,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Uncommon,Fire,Fire,80.0,1.0,57/146
dp6-58,Lanturn,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Uncommon,Water,Water,90.0,1.0,58/146
dp6-59,Lanturn,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Uncommon,Lightning,Lightning,90.0,2.0,59/146
dp6-60,Ledian,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Uncommon,Grass,Grass,80.0,1.0,60/146
dp6-61,Lucario,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Naoyo Kimura,Pokémon,Uncommon,Fighting,Fighting,90.0,1.0,61/146
dp6-62,Luxio,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Naoyo Kimura,Pokémon,Uncommon,Lightning,Lightning,80.0,1.0,62/146
dp6-63,Marowak,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Uncommon,Fighting,Fighting,90.0,2.0,63/146
dp6-64,Metang,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Uncommon,Metal,Metal,80.0,2.0,64/146
dp6-65,Metang,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Uncommon,Metal,Metal,80.0,2.0,65/146
dp6-66,Mightyena,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Uncommon,Darkness,Darkness,90.0,1.0,66/146
dp6-67,Ninjask,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Uncommon,Grass,Grass,80.0,,67/146
dp6-68,Persian,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Uncommon,Colorless,Colorless,80.0,,68/146
dp6-69,Piloswine,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Uncommon,Water,Water,100.0,3.0,69/146
dp6-70,Seadra,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Uncommon,Water,Water,80.0,1.0,70/146
dp6-71,Starmie,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Uncommon,Water,Water,80.0,,71/146
dp6-72,Swalot,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Uncommon,Psychic,Psychic,90.0,2.0,72/146
dp6-73,Swellow,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Suwama Chiaki,Pokémon,Uncommon,Colorless,Colorless,80.0,1.0,73/146
dp6-74,Tauros,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Uncommon,Colorless,Colorless,80.0,2.0,74/146
dp6-75,Tentacruel,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Uncommon,Water,Water,90.0,1.0,75/146
dp6-76,Unown J,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Psychic,Psychic,50.0,1.0,76/146
dp6-77,Unown R,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Psychic,Psychic,60.0,1.0,77/146
dp6-78,Unown U,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Psychic,Psychic,50.0,1.0,78/146
dp6-79,Unown V,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Psychic,Psychic,60.0,1.0,79/146
dp6-80,Unown W,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kazuaki Aihara,Pokémon,Uncommon,Psychic,Psychic,90.0,3.0,80/146
dp6-81,Unown Y,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kazuaki Aihara,Pokémon,Uncommon,Psychic,Psychic,50.0,1.0,81/146
dp6-82,Unown ?,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kazuaki Aihara,Pokémon,Uncommon,Psychic,Psychic,70.0,1.0,82/146
dp6-83,Beldum,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Metal,Metal,50.0,2.0,83/146
dp6-84,Beldum,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Metal,Metal,50.0,1.0,84/146
dp6-85,Bellsprout,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Grass,Grass,50.0,1.0,85/146
dp6-86,Buneary,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Colorless,Colorless,50.0,1.0,86/146
dp6-87,Chinchou,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Water,Water,60.0,2.0,87/146
dp6-88,Chinchou,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Common,Lightning,Lightning,50.0,1.0,88/146
dp6-89,Corphish,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Water,Water,50.0,1.0,89/146
dp6-90,Cubone,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kagemaru Himeno,Pokémon,Common,Fighting,Fighting,60.0,1.0,90/146
dp6-91,Dratini,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Colorless,Colorless,40.0,1.0,91/146
dp6-92,Drifloon,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Psychic,Psychic,50.0,1.0,92/146
dp6-93,Exeggcute,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Common,Psychic,Psychic,50.0,1.0,93/146
dp6-94,Gligar,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Fighting,Fighting,60.0,1.0,94/146
dp6-95,Gligar,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Common,Fighting,Fighting,50.0,1.0,95/146
dp6-96,Gloom,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Grass,Grass,70.0,1.0,96/146
dp6-97,Gloom,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Psychic,Psychic,80.0,2.0,97/146
dp6-98,Gulpin,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Psychic,Psychic,60.0,2.0,98/146
dp6-99,Hitmonchan,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Fighting,Fighting,70.0,1.0,99/146
dp6-100,Hitmonlee,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Mitsuhiro Arita,Pokémon,Common,Fighting,Fighting,80.0,1.0,100/146
dp6-101,Hitmontop,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Fighting,Fighting,80.0,1.0,101/146
dp6-102,Horsea,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Water,Water,50.0,1.0,102/146
dp6-103,Houndour,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Darkness,Darkness,50.0,1.0,103/146
dp6-104,Ledyba,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Grass,Grass,50.0,1.0,104/146
dp6-105,Lileep,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Common,Grass,Grass,80.0,2.0,105/146
dp6-106,Meowth,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Colorless,Colorless,50.0,1.0,106/146
dp6-107,Misdreavus,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Psychic,Psychic,60.0,1.0,107/146
dp6-108,Nincada,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Common,Grass,Grass,40.0,1.0,108/146
dp6-109,Nosepass,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Fighting,Fighting,70.0,1.0,109/146
dp6-110,Numel,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Common,Fire,Fire,60.0,2.0,110/146
dp6-111,Oddish,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Hiroki Fuchino,Pokémon,Common,Grass,Grass,40.0,1.0,111/146
dp6-112,Oddish,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Psychic,Psychic,50.0,1.0,112/146
dp6-113,Pineco,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Grass,Grass,50.0,1.0,113/146
dp6-114,Poliwag,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Water,Water,40.0,1.0,114/146
dp6-115,Poliwhirl,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Water,Water,80.0,1.0,115/146
dp6-116,Poochyena,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Common,Darkness,Darkness,50.0,1.0,116/146
dp6-117,Riolu,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kagemaru Himeno,Pokémon,Common,Fighting,Fighting,60.0,1.0,117/146
dp6-118,Shinx,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Lightning,Lightning,50.0,1.0,118/146
dp6-119,Skitty,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Colorless,Colorless,50.0,1.0,119/146
dp6-120,Sneasel,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Midori Harada,Pokémon,Common,Darkness,Darkness,60.0,1.0,120/146
dp6-121,Spoink,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kouki Saitou,Pokémon,Common,Psychic,Psychic,50.0,1.0,121/146
dp6-122,Staryu,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Water,Water,50.0,1.0,122/146
dp6-123,Swinub,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Sumiyoshi Kizuki,Pokémon,Common,Water,Water,60.0,2.0,123/146
dp6-124,Taillow,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Takao Unno,Pokémon,Common,Colorless,Colorless,50.0,1.0,124/146
dp6-125,Tentacool,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Atsuko Nishida,Pokémon,Common,Water,Water,50.0,1.0,125/146
dp6-126,Tyrogue,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kagemaru Himeno,Pokémon,Common,Fighting,Fighting,60.0,1.0,126/146
dp6-127,Weepinbell,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Pokémon,Common,Grass,Grass,80.0,2.0,127/146
dp6-128,Yanma,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Masakazu Fukuda,Pokémon,Common,Grass,Grass,70.0,1.0,128/146
dp6-129,Bubble Coat,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Daisuke Ito,Trainer,Uncommon,,,,,129/146
dp6-130,Buck's Training,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Trainer,Uncommon,,,,,130/146
dp6-131,Cynthia's Feelings,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ken Sugimori,Trainer,Uncommon,,,,,131/146
dp6-132,Energy Pickup,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kent Kanetsuna,Trainer,Uncommon,,,,,132/146
dp6-133,Poké Radar,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Kazuaki Aihara,Trainer,Uncommon,,,,,133/146
dp6-134,Snowpoint Temple,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,134/146
dp6-135,Stark Mountain,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,135/146
dp6-136,Technical Machine TS-1,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,136/146
dp6-137,Technical Machine TS-2,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,137/146
dp6-138,Claw Fossil,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Common,,,40.0,,138/146
dp6-139,Root Fossil,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Trainer,Common,,,40.0,,139/146
dp6-140,Azelf LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Shizurow,Pokémon,Holo LV.X Rare,Psychic,Psychic,90.0,1.0,140/146
dp6-141,Gliscor LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Pokémon,Holo LV.X Rare,Fighting,Fighting,110.0,,141/146
dp6-142,Magnezone LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Pokémon,Holo LV.X Rare,Metal,Metal,140.0,4.0,142/146
dp6-143,Mesprit LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Shizurow,Pokémon,Holo LV.X Rare,Psychic,Psychic,90.0,1.0,143/146
dp6-144,Mewtwo LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Shizurow,Pokémon,Holo LV.X Rare,Psychic,Psychic,120.0,2.0,144/146
dp6-145,Rhyperior LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Ryo Ueda,Pokémon,Holo LV.X Rare,Fighting,Fighting,170.0,4.0,145/146
dp6-146,Uxie LV.X,Legends Awakened,Diamond & Pearl,Fourth,TPCI,2008-08-01,2008,Shizurow,Pokémon,Holo LV.X Rare,Psychic,Psychic,90.0,1.0,146/146
pop8-1,Heatran,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ken Sugimori,Pokémon,Rare,Fire,Fire,100.0,3.0,1/17
pop8-2,Lucario,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kent Kanetsuna,Pokémon,Rare,Fighting,Fighting,90.0,1.0,2/17
pop8-3,Luxray,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ken Sugimori,Pokémon,Rare,Lightning,Lightning,120.0,1.0,3/17
pop8-4,Probopass,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ken Sugimori,Pokémon,Rare,Metal,Metal,90.0,3.0,4/17
pop8-5,Yanmega,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ken Sugimori,Pokémon,Rare,Grass,Grass,90.0,,5/17
pop8-6,Cherrim,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Atsuko Nishida,Pokémon,Uncommon,Grass,Grass,80.0,2.0,6/17
pop8-7,Carnivine,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kouki Saitou,Pokémon,Uncommon,Grass,Grass,70.0,1.0,7/17
pop8-8,Luxio,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kagemaru Himeno,Pokémon,Uncommon,Lightning,Lightning,80.0,,8/17
pop8-9,Night Maintenance,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,9/17
pop8-10,Rare Candy,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Ryo Ueda,Trainer,Uncommon,,,,,10/17
pop8-11,Roseanne's Research,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kanako Eo,Trainer,Uncommon,,,,,11/17
pop8-12,Chimchar,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kagemaru Himeno,Pokémon,Common,Fire,Fire,50.0,1.0,12/17
pop8-13,Croagunk,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Kouki Saitou,Pokémon,Common,Psychic,Psychic,60.0,1.0,13/17
pop8-14,Happiny,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Yuka Morii,Pokémon,Common,Colorless,Colorless,60.0,1.0,14/17
pop8-15,Piplup,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Atsuko Nishida,Pokémon,Common,Water,Water,60.0,1.0,15/17
pop8-16,Riolu,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Masakazu Fukuda,Pokémon,Common,Fighting,Fighting,50.0,1.0,16/17
pop8-17,Turtwig,POP Series 8,POP,Fourth,TPCI,2008-09-01,2008,Masakazu Fukuda,Pokémon,Common,Grass,Grass,60.0,2.0,17/17
dp7-1,Dusknoir,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Mitsuhiro Arita,Pokémon,Holo Rare,Psychic,Psychic,120.0,3.0,1/100
dp7-2,Empoleon,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Holo Rare,Metal,Metal,130.0,2.0,2/100
dp7-3,Infernape,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Mitsuhiro Arita,Pokémon,Holo Rare,Fighting,Fighting,120.0,,3/100
dp7-4,Lumineon,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Holo Rare,Water,Water,80.0,,4/100
dp7-5,Magnezone,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Masakazu Fukuda,Pokémon,Holo Rare,Metal,Metal,120.0,2.0,5/100
dp7-6,Magnezone,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Tomoaki Imakuni,Pokémon,Holo Rare,Lightning,Lightning,120.0,3.0,6/100
dp7-7,Mismagius,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Midori Harada,Pokémon,Holo Rare,Psychic,Psychic,80.0,1.0,7/100
dp7-8,Raichu,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kagemaru Himeno,Pokémon,Holo Rare,Lightning,Lightning,90.0,,8/100
dp7-9,Regigigas,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Masakazu Fukuda,Pokémon,Holo Rare,Colorless,Colorless,100.0,4.0,9/100
dp7-10,Sceptile,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Suwama Chiaki,Pokémon,Holo Rare,Grass,Grass,110.0,1.0,10/100
dp7-11,Torterra,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Masakazu Fukuda,Pokémon,Holo Rare,Fighting,Fighting,140.0,4.0,11/100
dp7-12,Abomasnow,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Mitsuhiro Arita,Pokémon,Rare,Water,Water,100.0,3.0,12/100
dp7-13,Bronzong,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kyoko Umemoto,Pokémon,Rare,Psychic,Psychic,90.0,3.0,13/100
dp7-14,Cherrim,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Suwama Chiaki,Pokémon,Rare,Grass,Grass,80.0,1.0,14/100
dp7-15,Drapion,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Rare,Darkness,Darkness,110.0,3.0,15/100
dp7-16,Drifblim,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Hajime Kusajima,Pokémon,Rare,Psychic,Psychic,90.0,,16/100
dp7-17,Dusknoir,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Tomoaki Imakuni,Pokémon,Rare,Psychic,Psychic,120.0,2.0,17/100
dp7-18,Gengar,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Hajime Kusajima,Pokémon,Rare,Psychic,Psychic,110.0,,18/100
dp7-19,Gyarados,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Midori Harada,Pokémon,Rare,Water,Water,130.0,3.0,19/100
dp7-20,Machamp,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Masakazu Fukuda,Pokémon,Rare,Fighting,Fighting,130.0,2.0,20/100
dp7-21,Mamoswine,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Rare,Fighting,Fighting,140.0,5.0,21/100
dp7-22,Rapidash,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Suwama Chiaki,Pokémon,Rare,Fire,Fire,80.0,,22/100
dp7-23,Roserade,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Mitsuhiro Arita,Pokémon,Rare,Psychic,Psychic,90.0,1.0,23/100
dp7-24,Salamence,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kagemaru Himeno,Pokémon,Rare,Colorless,Colorless,140.0,3.0,24/100
dp7-25,Scizor,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Midori Harada,Pokémon,Rare,Grass,Grass,100.0,1.0,25/100
dp7-26,Skuntank,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Rare,Darkness,Darkness,100.0,2.0,26/100
dp7-27,Staraptor,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Rare,Colorless,Colorless,120.0,,27/100
dp7-28,Steelix,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Naoyo Kimura,Pokémon,Rare,Metal,Metal,130.0,4.0,28/100
dp7-29,Tangrowth,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Rare,Grass,Grass,110.0,3.0,29/100
dp7-30,Tyranitar,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kagemaru Himeno,Pokémon,Rare,Darkness,Darkness,140.0,4.0,30/100
dp7-31,Vespiquen,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Rare,Grass,Grass,100.0,1.0,31/100
dp7-32,Bibarel,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Uncommon,Water,Water,100.0,3.0,32/100
dp7-33,Budew,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Yuka Morii,Pokémon,Uncommon,Psychic,Psychic,40.0,1.0,33/100
dp7-34,Dusclops,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Yukiko Baba,Pokémon,Uncommon,Psychic,Psychic,80.0,1.0,34/100
dp7-35,Dusclops,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Sumiyoshi Kizuki,Pokémon,Uncommon,Psychic,Psychic,80.0,1.0,35/100
dp7-36,Electrode,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Lightning,Lightning,90.0,,36/100
dp7-37,Electrode,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Sumiyoshi Kizuki,Pokémon,Uncommon,Lightning,Lightning,80.0,,37/100
dp7-38,Farfetch'd,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Sumiyoshi Kizuki,Pokémon,Uncommon,Colorless,Colorless,70.0,1.0,38/100
dp7-39,Grovyle,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Naoyo Kimura,Pokémon,Uncommon,Grass,Grass,80.0,1.0,39/100
dp7-40,Haunter,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Yukiko Baba,Pokémon,Uncommon,Psychic,Psychic,80.0,1.0,40/100
dp7-41,Machoke,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Sachiko Adachi,Pokémon,Uncommon,Fighting,Fighting,80.0,2.0,41/100
dp7-42,Magneton,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Hajime Kusajima,Pokémon,Uncommon,Metal,Metal,80.0,1.0,42/100
dp7-43,Magneton,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kent Kanetsuna,Pokémon,Uncommon,Lightning,Lightning,80.0,1.0,43/100
dp7-44,Miltank,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kouki Saitou,Pokémon,Uncommon,Colorless,Colorless,70.0,1.0,44/100
dp7-45,Pichu,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Atsuko Nishida,Pokémon,Uncommon,Lightning,Lightning,50.0,1.0,45/100
dp7-46,Piloswine,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Mitsuhiro Arita,Pokémon,Uncommon,Fighting,Fighting,90.0,2.0,46/100
dp7-47,Pupitar,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Hajime Kusajima,Pokémon,Uncommon,Fighting,Fighting,80.0,1.0,47/100
dp7-48,Sableye,Stormfront,Diamond & Pearl,Fourth,TPCI,2008-11-01,2008,Kyoko Umemoto,Pokémon,Uncommon,Darkness,Darkness,60.0,1.0,48/100
